total,available,percent,used,free
34277707776,27991330816,18.3,6286376960,27991330816
34277707776,27991203840,18.3,6286503936,27991203840
34277707776,27990691840,18.3,6287015936,27990691840
34277707776,27988324352,18.3,6289383424,27988324352
34277707776,27985485824,18.4,6292221952,27985485824
34277707776,27983937536,18.4,6293770240,27983937536
34277707776,27981479936,18.4,6296227840,27981479936
34277707776,27979722752,18.4,6297985024,27979722752
34277707776,27977248768,18.4,6300459008,27977248768
34277707776,27976331264,18.4,6301376512,27976331264
34277707776,27973799936,18.4,6303907840,27973799936
34277707776,27973312512,18.4,6304395264,27973312512
34277707776,27972972544,18.4,6304735232,27972972544
34277707776,27972890624,18.4,6304817152,27972890624
34277707776,27971489792,18.4,6306217984,27971489792
34277707776,27969716224,18.4,6307991552,27969716224
34277707776,27967971328,18.4,6309736448,27967971328
34277707776,27964518400,18.4,6313189376,27964518400
34277707776,27962535936,18.4,6315171840,27962535936
34277707776,27959828480,18.4,6317879296,27959828480
34277707776,27956453376,18.4,6321254400,27956453376
34277707776,27954925568,18.4,6322782208,27954925568
34277707776,27954860032,18.4,6322847744,27954860032
34277707776,27954839552,18.4,6322868224,27954839552
34277707776,27954700288,18.4,6323007488,27954700288
34277707776,27953238016,18.5,6324469760,27953238016
34277707776,27950620672,18.5,6327087104,27950620672
34277707776,27948519424,18.5,6329188352,27948519424
34277707776,27956752384,18.4,6320955392,27956752384
34277707776,27957805056,18.4,6319902720,27957805056
34277707776,27954016256,18.4,6323691520,27954016256
34277707776,27947470848,18.5,6330236928,27947470848
34277707776,27931619328,18.5,6346088448,27931619328
34277707776,27929341952,18.5,6348365824,27929341952
34277707776,27928530944,18.5,6349176832,27928530944
34277707776,27926437888,18.5,6351269888,27926437888
34277707776,27924938752,18.5,6352769024,27924938752
34277707776,27923046400,18.5,6354661376,27923046400
34277707776,27922141184,18.5,6355566592,27922141184
34277707776,27919159296,18.6,6358548480,27919159296
34277707776,27917787136,18.6,6359920640,27917787136
34277707776,27917221888,18.6,6360485888,27917221888
34277707776,27915718656,18.6,6361989120,27915718656
34277707776,27915218944,18.6,6362488832,27915218944
34277707776,27915325440,18.6,6362382336,27915325440
34277707776,27915087872,18.6,6362619904,27915087872
34277707776,27914973184,18.6,6362734592,27914973184
34277707776,27914637312,18.6,6363070464,27914637312
34277707776,27912884224,18.6,6364823552,27912884224
34277707776,27912765440,18.6,6364942336,27912765440
34277707776,27911925760,18.6,6365782016,27911925760
34277707776,27911213056,18.6,6366494720,27911213056
34277707776,27910987776,18.6,6366720000,27910987776
34277707776,27911024640,18.6,6366683136,27911024640
34277707776,27910451200,18.6,6367256576,27910451200
34277707776,27910324224,18.6,6367383552,27910324224
34277707776,27907891200,18.6,6369816576,27907891200
34277707776,27905118208,18.6,6372589568,27905118208
34277707776,27904835584,18.6,6372872192,27904835584
34277707776,27902894080,18.6,6374813696,27902894080
34277707776,27898568704,18.6,6379139072,27898568704
34277707776,27898134528,18.6,6379573248,27898134528
34277707776,27898400768,18.6,6379307008,27898400768
34277707776,27898273792,18.6,6379433984,27898273792
34277707776,27898126336,18.6,6379581440,27898126336
34277707776,27898183680,18.6,6379524096,27898183680
34277707776,27897831424,18.6,6379876352,27897831424
34277707776,27897671680,18.6,6380036096,27897671680
34277707776,27897479168,18.6,6380228608,27897479168
34277707776,27897827328,18.6,6379880448,27897827328
34277707776,27897827328,18.6,6379880448,27897827328
34277707776,27897823232,18.6,6379884544,27897823232
34277707776,27897819136,18.6,6379888640,27897819136
34277707776,27897221120,18.6,6380486656,27897221120
34277707776,27895828480,18.6,6381879296,27895828480
34277707776,27895787520,18.6,6381920256,27895787520
34277707776,27896406016,18.6,6381301760,27896406016
34277707776,27896401920,18.6,6381305856,27896401920
34277707776,27896401920,18.6,6381305856,27896401920
34277707776,27896397824,18.6,6381309952,27896397824
34277707776,27896168448,18.6,6381539328,27896168448
34277707776,27891851264,18.6,6385856512,27891851264
34277707776,27882242048,18.7,6395465728,27882242048
34277707776,27878551552,18.7,6399156224,27878551552
34277707776,27877646336,18.7,6400061440,27877646336
34277707776,27872423936,18.7,6405283840,27872423936
34277707776,27863998464,18.7,6413709312,27863998464
34277707776,27860725760,18.7,6416982016,27860725760
34277707776,27857801216,18.7,6419906560,27857801216
34277707776,27843244032,18.8,6434463744,27843244032
34277707776,27841990656,18.8,6435717120,27841990656
34277707776,27841921024,18.8,6435786752,27841921024
34277707776,27841921024,18.8,6435786752,27841921024
34277707776,27841921024,18.8,6435786752,27841921024
34277707776,27841921024,18.8,6435786752,27841921024
34277707776,27841921024,18.8,6435786752,27841921024
34277707776,27841921024,18.8,6435786752,27841921024
34277707776,27841921024,18.8,6435786752,27841921024
34277707776,27842211840,18.8,6435495936,27842211840
34277707776,27841937408,18.8,6435770368,27841937408
34277707776,27841937408,18.8,6435770368,27841937408
34277707776,27841937408,18.8,6435770368,27841937408
34277707776,27841937408,18.8,6435770368,27841937408
34277707776,27841867776,18.8,6435840000,27841867776
