total,available,percent,used,free
34277707776,28099985408,18.0,6177722368,28099985408
34277707776,28099977216,18.0,6177730560,28099977216
34277707776,28099735552,18.0,6177972224,28099735552
34277707776,28098678784,18.0,6179028992,28098678784
34277707776,28085411840,18.1,6192295936,28085411840
34277707776,28083306496,18.1,6194401280,28083306496
34277707776,28082728960,18.1,6194978816,28082728960
34277707776,28082315264,18.1,6195392512,28082315264
34277707776,28082315264,18.1,6195392512,28082315264
34277707776,28082315264,18.1,6195392512,28082315264
34277707776,28082315264,18.1,6195392512,28082315264
34277707776,28082315264,18.1,6195392512,28082315264
34277707776,28082315264,18.1,6195392512,28082315264
34277707776,28082315264,18.1,6195392512,28082315264
34277707776,28082315264,18.1,6195392512,28082315264
34277707776,28082315264,18.1,6195392512,28082315264
34277707776,28082339840,18.1,6195367936,28082339840
34277707776,28082237440,18.1,6195470336,28082237440
34277707776,28082188288,18.1,6195519488,28082188288
34277707776,28082176000,18.1,6195531776,28082176000
34277707776,28081639424,18.1,6196068352,28081639424
34277707776,28066877440,18.1,6210830336,28066877440
34277707776,28064464896,18.1,6213242880,28064464896
34277707776,28064350208,18.1,6213357568,28064350208
34277707776,28063842304,18.1,6213865472,28063842304
34277707776,28063150080,18.1,6214557696,28063150080
34277707776,28055633920,18.2,6222073856,28055633920
34277707776,28050440192,18.2,6227267584,28050440192
34277707776,28047753216,18.2,6229954560,28047753216
34277707776,28047200256,18.2,6230507520,28047200256
34277707776,28046516224,18.2,6231191552,28046516224
34277707776,28046446592,18.2,6231261184,28046446592
34277707776,28046331904,18.2,6231375872,28046331904
34277707776,28046020608,18.2,6231687168,28046020608
34277707776,28045332480,18.2,6232375296,28045332480
34277707776,28043476992,18.2,6234230784,28043476992
34277707776,28042088448,18.2,6235619328,28042088448
34277707776,28037795840,18.2,6239911936,28037795840
34277707776,28033921024,18.2,6243786752,28033921024
34277707776,28033249280,18.2,6244458496,28033249280
34277707776,28030803968,18.2,6246903808,28030803968
34277707776,28029239296,18.2,6248468480,28029239296
34277707776,28028563456,18.2,6249144320,28028563456
34277707776,28028567552,18.2,6249140224,28028567552
34277707776,28027932672,18.2,6249775104,28027932672
34277707776,28026290176,18.2,6251417600,28026290176
34277707776,28024184832,18.2,6253522944,28024184832
34277707776,28028977152,18.2,6248730624,28028977152
34277707776,28028706816,18.2,6249000960,28028706816
34277707776,28025696256,18.2,6252011520,28025696256
34277707776,28023189504,18.2,6254518272,28023189504
34277707776,28021903360,18.3,6255804416,28021903360
34277707776,28021288960,18.3,6256418816,28021288960
34277707776,28020916224,18.3,6256791552,28020916224
34277707776,28020580352,18.3,6257127424,28020580352
34277707776,28019994624,18.3,6257713152,28019994624
34277707776,28019974144,18.3,6257733632,28019974144
34277707776,28019261440,18.3,6258446336,28019261440
34277707776,28017561600,18.3,6260146176,28017561600
34277707776,28016005120,18.3,6261702656,28016005120
34277707776,28016005120,18.3,6261702656,28016005120
34277707776,28016005120,18.3,6261702656,28016005120
34277707776,28012105728,18.3,6265602048,28012105728
34277707776,28008861696,18.3,6268846080,28008861696
34277707776,28003852288,18.3,6273855488,28003852288
34277707776,28003217408,18.3,6274490368,28003217408
34277707776,28002451456,18.3,6275256320,28002451456
34277707776,28002557952,18.3,6275149824,28002557952
34277707776,28002541568,18.3,6275166208,28002541568
34277707776,28002050048,18.3,6275657728,28002050048
34277707776,28001284096,18.3,6276423680,28001284096
34277707776,27991728128,18.3,6285979648,27991728128
34277707776,27987550208,18.4,6290157568,27987550208
34277707776,27984637952,18.4,6293069824,27984637952
34277707776,27974332416,18.4,6303375360,27974332416
34277707776,27966648320,18.4,6311059456,27966648320
34277707776,27966164992,18.4,6311542784,27966164992
34277707776,27966164992,18.4,6311542784,27966164992
34277707776,27966164992,18.4,6311542784,27966164992
34277707776,27964968960,18.4,6312738816,27964968960
34277707776,27964923904,18.4,6312783872,27964923904
34277707776,27964887040,18.4,6312820736,27964887040
34277707776,27965005824,18.4,6312701952,27965005824
34277707776,27965071360,18.4,6312636416,27965071360
34277707776,27963584512,18.4,6314123264,27963584512
34277707776,27963113472,18.4,6314594304,27963113472
34277707776,27961888768,18.4,6315819008,27961888768
34277707776,27961499648,18.4,6316208128,27961499648
34277707776,27960528896,18.4,6317178880,27960528896
34277707776,27959554048,18.4,6318153728,27959554048
34277707776,27958759424,18.4,6318948352,27958759424
34277707776,27958394880,18.4,6319312896,27958394880
34277707776,27957878784,18.4,6319828992,27957878784
34277707776,27957305344,18.4,6320402432,27957305344
34277707776,27956719616,18.4,6320988160,27956719616
34277707776,27956174848,18.4,6321532928,27956174848
34277707776,27955343360,18.4,6322364416,27955343360
34277707776,27954683904,18.4,6323023872,27954683904
34277707776,27954176000,18.4,6323531776,27954176000
